# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;9.754050760750362E-001;-2.093807585257007E-001;
1.110000000000000E+008;9.690110401270285E-001;-2.339239026791792E-001;
1.220000000000000E+008;9.608695788811958E-001;-2.575829910039464E-001;
1.330000000000000E+008;9.509971906272469E-001;-2.827731156939914E-001;
1.440000000000000E+008;9.369062905820418E-001;-3.066134831977572E-001;
1.550000000000000E+008;9.196940318780165E-001;-3.229698425180388E-001;
1.660000000000000E+008;9.100064277695852E-001;-3.338794557060618E-001;
1.770000000000000E+008;9.058150976904900E-001;-3.493299997810341E-001;
1.880000000000000E+008;8.998497544460631E-001;-3.651579534467276E-001;
1.990000000000000E+008;8.940932401273632E-001;-3.808796375172883E-001;
2.100000000000000E+008;8.880301386154602E-001;-4.009092757654505E-001;
2.210000000000000E+008;8.781360398983561E-001;-4.224949960744181E-001;
2.320000000000000E+008;8.651148355488129E-001;-4.426980068245326E-001;
2.430000000000000E+008;8.521662367408778E-001;-4.598007208858702E-001;
2.540000000000000E+008;8.415038611778153E-001;-4.746302060319285E-001;
2.650000000000000E+008;8.328229100619080E-001;-4.871554236461306E-001;
2.760000000000000E+008;8.261896047789392E-001;-5.005621670325720E-001;
2.870000000000000E+008;8.205900679017608E-001;-5.148990195352871E-001;
2.980000000000000E+008;8.143567823312915E-001;-5.322224576055067E-001;
3.090000000000000E+008;8.054739574316018E-001;-5.522342658829221E-001;
3.200000000000000E+008;7.939892041158306E-001;-5.720145614181118E-001;
3.310000000000000E+008;7.808045877064717E-001;-5.913099291576504E-001;
3.420000000000000E+008;7.659487243438433E-001;-6.103149545515859E-001;
3.530000000000000E+008;7.503851254354607E-001;-6.281866354108662E-001;
3.640000000000000E+008;7.351897101935533E-001;-6.442902292559481E-001;
3.750000000000000E+008;7.208753229597585E-001;-6.588591590222150E-001;
3.860000000000000E+008;7.070228139794575E-001;-6.725306834686784E-001;
3.970000000000000E+008;6.931293908692766E-001;-6.848562951330529E-001;
4.080000000000000E+008;6.787532910029931E-001;-6.979171099514060E-001;
4.190000000000000E+008;6.631570050037023E-001;-7.126835238945901E-001;
4.300000000000000E+008;6.457614740928660E-001;-7.278828733047278E-001;
4.410000000000000E+008;6.286367954408738E-001;-7.429156615961903E-001;
4.520000000000000E+008;6.126434379087795E-001;-7.583575630783352E-001;
4.630000000000000E+008;5.968240597459028E-001;-7.741377389338860E-001;
4.740000000000000E+008;5.799184883184735E-001;-7.892618332742826E-001;
4.850000000000000E+008;5.623383023064819E-001;-8.038800837625115E-001;
4.960000000000000E+008;5.430163080683338E-001;-8.179259325690453E-001;
5.070000000000000E+008;5.221994360386714E-001;-8.312547757615766E-001;
5.180000000000000E+008;4.991949491030380E-001;-8.437464149365916E-001;
5.290000000000000E+008;4.754379136109529E-001;-8.554005306610741E-001;
5.400000000000000E+008;4.511288326795090E-001;-8.657448468703920E-001;
5.510000000000000E+008;4.276684853509326E-001;-8.750959032613075E-001;
5.620000000000000E+008;4.048731396734926E-001;-8.842193967373401E-001;
5.730000000000000E+008;3.836743503707921E-001;-8.934249231973611E-001;
5.840000000000000E+008;3.634544905065592E-001;-9.009909139677936E-001;
5.950000000000000E+008;3.430186977663812E-001;-9.075325569667752E-001;
