# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;6.936916769851415E-001;-6.719720184616043E-001;
1.110000000000000E+008;6.309107847664749E-001;-7.219676463329799E-001;
1.220000000000000E+008;5.687015711147546E-001;-7.704514037459141E-001;
1.330000000000000E+008;4.965327690091063E-001;-8.174693422104589E-001;
1.440000000000000E+008;4.217802510800331E-001;-8.523111920002489E-001;
1.550000000000000E+008;3.430274452778285E-001;-8.798344461962580E-001;
1.660000000000000E+008;2.618280363847147E-001;-9.015753242052975E-001;
1.770000000000000E+008;1.747940540445255E-001;-9.105236024273076E-001;
1.880000000000000E+008;9.019643930686530E-002;-9.008659166526075E-001;
1.990000000000000E+008;2.710530744889560E-002;-8.724886831292735E-001;
2.100000000000000E+008;-7.959516484897285E-003;-8.671424927728016E-001;
2.210000000000000E+008;-6.547587341149207E-002;-8.842632423373485E-001;
2.320000000000000E+008;-1.434430455228597E-001;-8.886440628225439E-001;
2.430000000000000E+008;-2.185361313051107E-001;-8.805545654984882E-001;
2.540000000000000E+008;-3.016520019939704E-001;-8.695750330779192E-001;
2.650000000000000E+008;-3.868143677068173E-001;-8.416783160102828E-001;
2.760000000000000E+008;-4.673289614456378E-001;-7.989270854738255E-001;
2.870000000000000E+008;-5.366013087299877E-001;-7.485520530976196E-001;
2.980000000000000E+008;-6.007888775818785E-001;-6.947616192224810E-001;
3.090000000000000E+008;-6.581836796463183E-001;-6.358508230883225E-001;
3.200000000000000E+008;-7.142906088671404E-001;-5.754818714545845E-001;
3.310000000000000E+008;-7.670848752186408E-001;-5.051431641703490E-001;
3.420000000000000E+008;-8.096676118856829E-001;-4.316174069226063E-001;
3.530000000000000E+008;-8.489463684922574E-001;-3.524841665773750E-001;
3.640000000000000E+008;-8.813067274841572E-001;-2.680648828296657E-001;
3.750000000000000E+008;-9.032889470697287E-001;-1.777760964403909E-001;
3.860000000000000E+008;-9.155505128178522E-001;-8.712861353201004E-002;
3.970000000000000E+008;-9.217166128663835E-001;5.820558566164337E-003;
4.080000000000000E+008;-9.154064696184748E-001;1.031580555147208E-001;
4.190000000000000E+008;-8.961405473170933E-001;1.976691846428829E-001;
4.300000000000000E+008;-8.683007011880631E-001;2.898947879857293E-001;
4.410000000000000E+008;-8.282234198380356E-001;3.791423310049773E-001;
4.520000000000000E+008;-7.790175620136464E-001;4.639077194144870E-001;
4.630000000000000E+008;-7.190834564170632E-001;5.444007035746575E-001;
4.740000000000000E+008;-6.471254454364275E-001;6.164825494412143E-001;
4.850000000000000E+008;-5.654288624540099E-001;6.767041745260815E-001;
4.960000000000000E+008;-4.795286125920868E-001;7.211411626867548E-001;
5.070000000000000E+008;-3.944746547924964E-001;7.563957661865838E-001;
5.180000000000000E+008;-3.057626407562797E-001;7.836729987007763E-001;
5.290000000000000E+008;-2.141767234530239E-001;7.977978692210015E-001;
5.400000000000000E+008;-1.233598424901988E-001;8.016907303070232E-001;
5.510000000000000E+008;-3.385389892917139E-002;7.948972440717776E-001;
5.620000000000000E+008;5.247136275480398E-002;7.692999437090284E-001;
5.730000000000000E+008;1.175752424891317E-001;7.353410981476732E-001;
5.840000000000000E+008;1.765883125518774E-001;7.132726728858013E-001;
5.950000000000000E+008;2.481895756607571E-001;6.865036885482373E-001;
6.060000000000000E+008;3.168119730578731E-001;6.431114209450001E-001;
6.170000000000000E+008;3.731155011916423E-001;5.905607823340872E-001;
6.280000000000000E+008;4.242401095985622E-001;5.371444002605537E-001;
6.390000000000000E+008;4.741246086316100E-001;4.714154422549599E-001;
6.500000000000000E+008;5.016240108132065E-001;3.960587741621674E-001;
6.610000000000000E+008;5.224789064965271E-001;3.278164805733357E-001;
6.720000000000000E+008;5.280766891604722E-001;2.499398309994140E-001;
6.830000000000000E+008;5.036691712790586E-001;1.811109858220417E-001;
6.940000000000000E+008;4.772511416299521E-001;1.486421822859783E-001;
7.050000000000000E+008;4.792114356643276E-001;1.149008036482966E-001;
7.160000000000000E+008;4.673967921312660E-001;6.466586654846745E-002;
7.270000000000000E+008;4.415366178501003E-001;2.019187338841903E-002;
7.380000000000000E+008;4.063538791407488E-001;-1.256094713201122E-002;
7.490000000000000E+008;3.664815116752592E-001;-3.460443659195688E-002;
7.600000000000000E+008;3.243844950285698E-001;-3.341338746576845E-002;
7.710000000000000E+008;3.059845651095119E-001;-3.188301462439421E-002;
7.820000000000000E+008;2.786649120559432E-001;-2.413312642908657E-002;
7.930000000000000E+008;2.635571608864156E-001;-3.314668884569591E-003;
8.040000000000000E+008;2.709912009138521E-001;1.607493014298722E-002;
8.150000000000000E+008;2.812276953644685E-001;2.115246877164378E-002;
8.260000000000000E+008;2.999145358081008E-001;2.548114314802538E-002;
8.370000000000000E+008;3.142764882628007E-001;1.547217660719296E-002;
8.480000000000000E+008;3.249973268087192E-001;1.105251270870509E-002;
8.590000000000000E+008;3.409536433310110E-001;3.558614674391246E-003;
8.700000000000000E+008;3.618467119589498E-001;-1.063031989484944E-002;
8.810000000000000E+008;3.760051564919095E-001;-3.079436864935681E-002;
8.920000000000000E+008;3.890706383811305E-001;-5.247160958459356E-002;
9.030000000000000E+008;3.997548624276347E-001;-7.689724482651210E-002;
9.140000000000000E+008;4.048221968935466E-001;-9.986383304714663E-002;
9.250000000000000E+008;4.138090414785807E-001;-1.180319035682005E-001;
9.360000000000000E+008;4.273356410223761E-001;-1.465755587308221E-001;
9.470000000000000E+008;4.349067304490822E-001;-1.770551819004590E-001;
9.580000000000000E+008;4.448813591953565E-001;-2.137993863687092E-001;
9.690000000000000E+008;4.427533383599713E-001;-2.579576726045630E-001;
9.800000000000000E+008;4.374001081934805E-001;-2.971324470659430E-001;
9.910000000000000E+008;4.287645523105744E-001;-3.424909310748719E-001;
1.002000000000000E+009;4.077682412767947E-001;-3.854909338578197E-001;
1.013000000000000E+009;3.841359322634902E-001;-4.229336131353926E-001;
1.024000000000000E+009;3.577178829758669E-001;-4.568943883198490E-001;
1.035000000000000E+009;3.337576221244965E-001;-4.875470720345048E-001;
1.046000000000000E+009;3.071787378019552E-001;-5.237173818157873E-001;
1.057000000000000E+009;2.728552528935938E-001;-5.577949301150681E-001;
1.068000000000000E+009;2.337352853548488E-001;-5.890663340561712E-001;
1.079000000000000E+009;1.897742507177593E-001;-6.132926079684374E-001;
1.090000000000000E+009;1.465952339938939E-001;-6.328902419570101E-001;
1.101000000000000E+009;9.965982559295356E-002;-6.513408438041470E-001;
1.112000000000000E+009;5.242289472065694E-002;-6.640259464031530E-001;
1.123000000000000E+009;2.241655535753070E-003;-6.742912717044121E-001;
