# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;7.150241395317947E-001;-6.595084765802339E-001;
1.110000000000000E+008;6.566570645180796E-001;-7.123705281209474E-001;
1.220000000000000E+008;5.955740011125879E-001;-7.597929945535865E-001;
1.330000000000000E+008;5.294789364978985E-001;-8.077559726279058E-001;
1.440000000000000E+008;4.597616060588921E-001;-8.413088727996226E-001;
1.550000000000000E+008;3.876994546413518E-001;-8.739495716125664E-001;
1.660000000000000E+008;3.124621661348991E-001;-9.024260440326851E-001;
1.770000000000000E+008;2.288288753504949E-001;-9.193635779900786E-001;
1.880000000000000E+008;1.459780096898256E-001;-9.218917006657543E-001;
1.990000000000000E+008;7.611016572260781E-002;-9.080726426353759E-001;
2.100000000000000E+008;2.343709243626613E-002;-9.034286453030144E-001;
2.210000000000000E+008;-3.861559214674303E-002;-9.122145849428951E-001;
2.320000000000000E+008;-1.103195190214154E-001;-9.117335901395227E-001;
2.430000000000000E+008;-1.851438570497775E-001;-9.057206908212971E-001;
2.540000000000000E+008;-2.638074256899735E-001;-8.915286441904865E-001;
2.650000000000000E+008;-3.381933394595874E-001;-8.689688218609275E-001;
2.760000000000000E+008;-4.161147892291169E-001;-8.384333787178138E-001;
2.870000000000000E+008;-4.868365511426488E-001;-7.968225743476893E-001;
2.980000000000000E+008;-5.512801209095667E-001;-7.515317960600403E-001;
3.090000000000000E+008;-6.121858335723723E-001;-7.036687925050683E-001;
3.200000000000000E+008;-6.746977939888291E-001;-6.522955460899627E-001;
3.310000000000000E+008;-7.346852455708700E-001;-5.883062124229647E-001;
3.420000000000000E+008;-7.843765189549367E-001;-5.194559977225022E-001;
3.530000000000000E+008;-8.293878442234786E-001;-4.447662404725899E-001;
3.640000000000000E+008;-8.660754489021698E-001;-3.655625771645168E-001;
3.750000000000000E+008;-8.930685948171823E-001;-2.828929779329794E-001;
3.860000000000000E+008;-9.118474097808428E-001;-2.025922821954084E-001;
3.970000000000000E+008;-9.298354230209516E-001;-1.224568686440396E-001;
4.080000000000000E+008;-9.427923624432119E-001;-3.468054141042990E-002;
4.190000000000000E+008;-9.447799769346469E-001;5.739536342521894E-002;
4.300000000000000E+008;-9.354560425769334E-001;1.497435297742662E-001;
4.410000000000000E+008;-9.156689443563377E-001;2.400687207892037E-001;
4.520000000000000E+008;-8.875630538215582E-001;3.286905944968380E-001;
4.630000000000000E+008;-8.496565304462516E-001;4.142761778238481E-001;
4.740000000000000E+008;-8.027769491169949E-001;4.956511073122036E-001;
4.850000000000000E+008;-7.475321557641418E-001;5.718136855353821E-001;
4.960000000000000E+008;-6.837462887988502E-001;6.411704867522839E-001;
5.070000000000000E+008;-6.141602177503671E-001;7.030114500295744E-001;
5.180000000000000E+008;-5.384469357174249E-001;7.574954038932309E-001;
5.290000000000000E+008;-4.573229537068205E-001;8.031267094776048E-001;
5.400000000000000E+008;-3.728191352652415E-001;8.402889654476206E-001;
5.510000000000000E+008;-2.849903936311987E-001;8.678076796696644E-001;
5.620000000000000E+008;-1.956837317782240E-001;8.845497489071604E-001;
5.730000000000000E+008;-1.082433307536847E-001;8.895299606501937E-001;
5.840000000000000E+008;-2.703556322185586E-002;8.887994696518539E-001;
5.950000000000000E+008;5.641145130905140E-002;8.847412911470732E-001;
6.060000000000000E+008;1.393034404667366E-001;8.710022353099415E-001;
6.170000000000000E+008;2.199440022636252E-001;8.500992587709640E-001;
6.280000000000000E+008;3.009819581476408E-001;8.236330948861792E-001;
6.390000000000000E+008;3.812037387527995E-001;7.852623542331269E-001;
6.500000000000000E+008;4.546469198872041E-001;7.349140650731142E-001;
6.610000000000000E+008;5.172088317928131E-001;6.802349618532059E-001;
6.720000000000000E+008;5.734149861395778E-001;6.217135987006235E-001;
6.830000000000000E+008;6.222571938815797E-001;5.589381137150278E-001;
6.940000000000000E+008;6.616901099297873E-001;4.948666989303450E-001;
7.050000000000000E+008;6.989833966200754E-001;4.337453278483526E-001;
7.160000000000000E+008;7.353260193987717E-001;3.643773542490131E-001;
7.270000000000000E+008;7.601324225266397E-001;2.878592093083195E-001;
7.380000000000000E+008;7.730757973617400E-001;2.091239476834413E-001;
7.490000000000000E+008;7.754789406892784E-001;1.371796146836203E-001;
7.600000000000000E+008;7.702528847604168E-001;6.464898591748211E-002;
7.710000000000000E+008;7.628125294108572E-001;-8.813326839473437E-004;
7.820000000000000E+008;7.498938403859037E-001;-7.176555762494911E-002;
7.930000000000000E+008;7.236617716032495E-001;-1.385149735168063E-001;
8.040000000000000E+008;6.933423909313250E-001;-1.934092522284374E-001;
8.150000000000000E+008;6.653024873259777E-001;-2.473956390207335E-001;
8.260000000000000E+008;6.302905558232443E-001;-3.005853348797925E-001;
8.370000000000000E+008;5.888857061337856E-001;-3.503502023294643E-001;
8.480000000000000E+008;5.377514046984512E-001;-3.939863379773076E-001;
8.590000000000000E+008;4.863933444395615E-001;-4.234565650824188E-001;
8.700000000000000E+008;4.349532162939355E-001;-4.451946646383583E-001;
8.810000000000000E+008;3.878474546246364E-001;-4.589268437544541E-001;
8.920000000000000E+008;3.482351895611920E-001;-4.729631339498442E-001;
9.030000000000000E+008;3.009491099515234E-001;-4.882261118555729E-001;
9.140000000000000E+008;2.476305533201473E-001;-4.913899787044970E-001;
9.250000000000000E+008;2.007582029720631E-001;-4.863658619670195E-001;
9.360000000000000E+008;1.588503942034633E-001;-4.710816879796057E-001;
9.470000000000000E+008;1.243732820273996E-001;-4.554134060775820E-001;
9.580000000000000E+008;9.530660342907898E-002;-4.350151573541703E-001;
9.690000000000000E+008;7.340135473199023E-002;-4.155249977324957E-001;
9.800000000000000E+008;5.177669481649227E-002;-3.956523879634389E-001;
9.910000000000000E+008;4.715928968491789E-002;-3.672760246533094E-001;
1.002000000000000E+009;4.728074599292929E-002;-3.627472443146943E-001;
1.013000000000000E+009;3.831775912309658E-002;-3.556309680726114E-001;
1.024000000000000E+009;2.801091271970132E-002;-3.464054768495631E-001;
1.035000000000000E+009;2.033820067739126E-002;-3.272539159853967E-001;
1.046000000000000E+009;3.896784322507584E-002;-3.088099616530524E-001;
1.057000000000000E+009;6.025046909470777E-002;-3.174573903594699E-001;
1.068000000000000E+009;6.930793592206261E-002;-3.408576282761023E-001;
1.079000000000000E+009;6.063596405954552E-002;-3.649118520150667E-001;
1.090000000000000E+009;4.576194377431789E-002;-3.777903740789949E-001;
1.101000000000000E+009;3.723276830365572E-002;-3.879049908428517E-001;
1.112000000000000E+009;2.827113871712640E-002;-4.013183990862120E-001;
1.123000000000000E+009;1.672004614209794E-002;-4.234102513356439E-001;
1.134000000000000E+009;-6.108799315322958E-003;-4.444311877153783E-001;
1.145000000000000E+009;-3.466444505358007E-002;-4.598694847382958E-001;
1.156000000000000E+009;-6.206463801765878E-002;-4.693078361776147E-001;
1.167000000000000E+009;-8.957167258213271E-002;-4.825788828906273E-001;
1.178000000000000E+009;-1.226196496504028E-001;-4.931407909520495E-001;
1.189000000000000E+009;-1.590603835973584E-001;-5.006668706927202E-001;
1.200000000000000E+009;-1.962830376854169E-001;-5.006113290925549E-001;
1.211000000000000E+009;-2.301175806753060E-001;-5.052827135828638E-001;
1.222000000000000E+009;-2.747823931368978E-001;-5.083814818825008E-001;
1.233000000000000E+009;-3.221544402396635E-001;-5.002055083630441E-001;
1.244000000000000E+009;-3.697801210729946E-001;-4.872946592288644E-001;
1.255000000000000E+009;-4.187192745241807E-001;-4.624044568843495E-001;
1.266000000000000E+009;-4.544524536259105E-001;-4.297278128142251E-001;
1.277000000000000E+009;-4.854755203652462E-001;-4.024591014542606E-001;
1.288000000000000E+009;-5.199598635024064E-001;-3.766387748034044E-001;
1.299000000000000E+009;-5.595245182183700E-001;-3.448611299054663E-001;
1.310000000000000E+009;-5.959826048671471E-001;-3.005660355739699E-001;
1.321000000000000E+009;-6.216843472895073E-001;-2.531432580600482E-001;
1.332000000000000E+009;-6.428687491444710E-001;-2.073746745032150E-001;
1.343000000000000E+009;-6.628162578765372E-001;-1.608185393218151E-001;
1.354000000000000E+009;-6.803470352296873E-001;-1.132965188584273E-001;
1.365000000000000E+009;-6.936381285611418E-001;-6.155811702956471E-002;
1.376000000000000E+009;-7.038260496732259E-001;-9.201269699326307E-003;
