# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;9.728205087300988E-001;-2.135837777739620E-001;
1.110000000000000E+008;9.657312106786169E-001;-2.387447091354890E-001;
1.220000000000000E+008;9.570638927340277E-001;-2.627362348741423E-001;
1.330000000000000E+008;9.458306163911386E-001;-2.882426088502810E-001;
1.440000000000000E+008;9.302672186717347E-001;-3.113953251714571E-001;
1.550000000000000E+008;9.146112713182819E-001;-3.260493965351203E-001;
1.660000000000000E+008;9.053102114434944E-001;-3.419051931335672E-001;
1.770000000000000E+008;8.940178755426282E-001;-3.592290833310023E-001;
1.880000000000000E+008;8.822841406759823E-001;-3.673145719364402E-001;
1.990000000000000E+008;8.815805609278515E-001;-3.764053021167305E-001;
2.100000000000000E+008;8.799812077839551E-001;-3.982600539561097E-001;
2.210000000000000E+008;8.712056255147501E-001;-4.213901016992035E-001;
2.320000000000000E+008;8.580700234433242E-001;-4.419800800736303E-001;
2.430000000000000E+008;8.462468281893952E-001;-4.587314860051797E-001;
2.540000000000000E+008;8.366442837375369E-001;-4.745271567543522E-001;
2.650000000000000E+008;8.281228480180523E-001;-4.886514444975193E-001;
2.760000000000000E+008;8.214614479907032E-001;-5.035127104176219E-001;
2.870000000000000E+008;8.151517996506607E-001;-5.199255818385362E-001;
2.980000000000000E+008;8.070238179659622E-001;-5.391121391221826E-001;
3.090000000000000E+008;7.954611802000168E-001;-5.603341731659143E-001;
3.200000000000000E+008;7.809450054578193E-001;-5.801001857150222E-001;
3.310000000000000E+008;7.648545770592097E-001;-5.987568593947187E-001;
3.420000000000000E+008;7.481035372315246E-001;-6.156894779778050E-001;
3.530000000000000E+008;7.315155492080309E-001;-6.312639789740449E-001;
3.640000000000000E+008;7.160691856148217E-001;-6.451674475578518E-001;
3.750000000000000E+008;7.019407581990025E-001;-6.576418855240421E-001;
3.860000000000000E+008;6.897145282739348E-001;-6.698718106104126E-001;
3.970000000000000E+008;6.775374341959861E-001;-6.820611031897929E-001;
4.080000000000000E+008;6.655403348661255E-001;-6.964819699210270E-001;
4.190000000000000E+008;6.508295213927317E-001;-7.146092771153387E-001;
4.300000000000000E+008;6.328612575654784E-001;-7.328404401398497E-001;
4.410000000000000E+008;6.141898778668804E-001;-7.514459922509343E-001;
4.520000000000000E+008;5.948374522029830E-001;-7.690675087911804E-001;
4.630000000000000E+008;5.751687900269917E-001;-7.855278992057686E-001;
4.740000000000000E+008;5.546304427878616E-001;-8.005890909489990E-001;
4.850000000000000E+008;5.336050235848342E-001;-8.143734007268405E-001;
4.960000000000000E+008;5.104832774939967E-001;-8.276100401857813E-001;
5.070000000000000E+008;4.859870479288174E-001;-8.393821355905675E-001;
5.180000000000000E+008;4.598301920480360E-001;-8.501456469953708E-001;
5.290000000000000E+008;4.334833397759475E-001;-8.595883366634679E-001;
5.400000000000000E+008;4.073559783310619E-001;-8.674492477229642E-001;
5.510000000000000E+008;3.832211192564745E-001;-8.746768790447770E-001;
5.620000000000000E+008;3.600303908892388E-001;-8.823647053926119E-001;
