# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;7.085961537609317E-001;-6.636519393248527E-001;
1.110000000000000E+008;6.507154298275659E-001;-7.168727599662725E-001;
1.220000000000000E+008;5.879330356541284E-001;-7.649527502966735E-001;
1.330000000000000E+008;5.200210701062522E-001;-8.132074007993797E-001;
1.440000000000000E+008;4.492104295487632E-001;-8.481296410944400E-001;
1.550000000000000E+008;3.738290402325551E-001;-8.801863857388819E-001;
1.660000000000000E+008;2.960323395139650E-001;-9.072001331828000E-001;
1.770000000000000E+008;2.103850531339429E-001;-9.221144903484847E-001;
1.880000000000000E+008;1.244822607981577E-001;-9.223965342557909E-001;
1.990000000000000E+008;5.164957794720146E-002;-9.017887589807037E-001;
2.100000000000000E+008;4.252820915242668E-003;-8.908377486209245E-001;
2.210000000000000E+008;-4.956754669828402E-002;-8.994283958027205E-001;
2.320000000000000E+008;-1.230231418265972E-001;-9.073135543279904E-001;
2.430000000000000E+008;-2.020708675606196E-001;-8.995338329014609E-001;
2.540000000000000E+008;-2.821387415330012E-001;-8.835966835563677E-001;
2.650000000000000E+008;-3.589581854403692E-001;-8.592676941518834E-001;
2.760000000000000E+008;-4.380046560720211E-001;-8.246272736270670E-001;
2.870000000000000E+008;-5.084270088310197E-001;-7.795968086667624E-001;
2.980000000000000E+008;-5.722946741014272E-001;-7.314107907695635E-001;
3.090000000000000E+008;-6.323267183668824E-001;-6.810400874696123E-001;
3.200000000000000E+008;-6.950874146877408E-001;-6.265145692668592E-001;
3.310000000000000E+008;-7.539926094344411E-001;-5.588387330303594E-001;
3.420000000000000E+008;-8.019618082090172E-001;-4.864165199220358E-001;
3.530000000000000E+008;-8.450336024721297E-001;-4.085064496179680E-001;
3.640000000000000E+008;-8.793224710237673E-001;-3.255975833074412E-001;
3.750000000000000E+008;-9.041215055334571E-001;-2.396810062694386E-001;
3.860000000000000E+008;-9.208751432179925E-001;-1.547678282461997E-001;
3.970000000000000E+008;-9.343764892812785E-001;-6.806379967229242E-002;
4.080000000000000E+008;-9.393293871829725E-001;2.460675523778713E-002;
4.190000000000000E+008;-9.324214971584827E-001;1.185656751085904E-001;
4.300000000000000E+008;-9.155844000523715E-001;2.116144067180462E-001;
4.410000000000000E+008;-8.876269606370437E-001;3.030286236882048E-001;
4.520000000000000E+008;-8.497138644297284E-001;3.915779874000605E-001;
4.630000000000000E+008;-8.024555821554573E-001;4.755596983601252E-001;
4.740000000000000E+008;-7.447135277810880E-001;5.542350652840126E-001;
4.850000000000000E+008;-6.779252538935183E-001;6.249726493870947E-001;
4.960000000000000E+008;-6.040107530495896E-001;6.852929036289970E-001;
5.070000000000000E+008;-5.270954637277430E-001;7.364447028578715E-001;
5.180000000000000E+008;-4.456358645975359E-001;7.810181134425001E-001;
5.290000000000000E+008;-3.584255820303365E-001;8.149277957478818E-001;
5.400000000000000E+008;-2.704765820400832E-001;8.389399573029450E-001;
5.510000000000000E+008;-1.817839319531052E-001;8.528272939671110E-001;
5.620000000000000E+008;-9.267310643986997E-002;8.552102522540953E-001;
5.730000000000000E+008;-1.096360004801925E-002;8.453373953522406E-001;
5.840000000000000E+008;6.205799242259242E-002;8.363982300872864E-001;
5.950000000000000E+008;1.418835528210486E-001;8.272968600232257E-001;
6.060000000000000E+008;2.260723711409766E-001;8.055561147789704E-001;
6.170000000000000E+008;3.054135621009776E-001;7.712108430775604E-001;
6.280000000000000E+008;3.812376258245867E-001;7.303725014663207E-001;
6.390000000000000E+008;4.567682115795122E-001;6.765602721216192E-001;
6.500000000000000E+008;5.151816716926903E-001;6.068347997896580E-001;
6.610000000000000E+008;5.618354604772211E-001;5.434182839334901E-001;
6.720000000000000E+008;6.030466233031521E-001;4.737635927382772E-001;
6.830000000000000E+008;6.304836016754030E-001;3.989513025297969E-001;
6.940000000000000E+008;6.434924052764213E-001;3.306678486000636E-001;
7.050000000000000E+008;6.598331926810137E-001;2.751112879155049E-001;
7.160000000000000E+008;6.776817973610736E-001;2.050065688587272E-001;
7.270000000000000E+008;6.815638629824176E-001;1.316522754183128E-001;
7.380000000000000E+008;6.719435939591673E-001;5.755535044488730E-002;
7.490000000000000E+008;6.505577826580448E-001;-1.095805625154418E-002;
