# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;9.740107092377591E-001;-2.125743467118623E-001;
1.110000000000000E+008;9.671027295777747E-001;-2.376491176347191E-001;
1.220000000000000E+008;9.582105691994456E-001;-2.618777681569150E-001;
1.330000000000000E+008;9.468434524384287E-001;-2.870756869264951E-001;
1.440000000000000E+008;9.311155437198125E-001;-3.097536523900163E-001;
1.550000000000000E+008;9.152539377351406E-001;-3.241634883927804E-001;
1.660000000000000E+008;9.062247700123266E-001;-3.367540260879343E-001;
1.770000000000000E+008;8.995285878863639E-001;-3.523450767559381E-001;
1.880000000000000E+008;8.923431159154991E-001;-3.652424576971713E-001;
1.990000000000000E+008;8.890239097700958E-001;-3.785220054014859E-001;
2.100000000000000E+008;8.849813595876180E-001;-3.993981800811979E-001;
2.210000000000000E+008;8.757394899968368E-001;-4.213999996028379E-001;
2.320000000000000E+008;8.633125604884312E-001;-4.409971160845396E-001;
2.430000000000000E+008;8.525541350563352E-001;-4.574981634394300E-001;
2.540000000000000E+008;8.440772195387789E-001;-4.736449279471929E-001;
2.650000000000000E+008;8.370243345115469E-001;-4.885945037559154E-001;
2.760000000000000E+008;8.306704006279552E-001;-5.045642639648934E-001;
2.870000000000000E+008;8.243208094221399E-001;-5.221747792802942E-001;
2.980000000000000E+008;8.155273931059841E-001;-5.414409265578113E-001;
3.090000000000000E+008;8.043012741794469E-001;-5.616962669297512E-001;
3.200000000000000E+008;7.913484608298860E-001;-5.811881410239541E-001;
3.310000000000000E+008;7.768454371642397E-001;-6.001012338312578E-001;
3.420000000000000E+008;7.613111981987473E-001;-6.182237957393276E-001;
3.530000000000000E+008;7.455698016525818E-001;-6.357619106927240E-001;
3.640000000000000E+008;7.300375350929909E-001;-6.518258600349538E-001;
3.750000000000000E+008;7.153402158214560E-001;-6.666470703526976E-001;
3.860000000000000E+008;7.011711578876748E-001;-6.806146043324941E-001;
3.970000000000000E+008;6.870289372228191E-001;-6.935902899866135E-001;
4.080000000000000E+008;6.720031809091798E-001;-7.076202075696311E-001;
4.190000000000000E+008;6.554994417257511E-001;-7.238892794395598E-001;
4.300000000000000E+008;6.366008444184602E-001;-7.399280199550253E-001;
4.410000000000000E+008;6.177224403124213E-001;-7.558159645179240E-001;
4.520000000000000E+008;5.994916597059752E-001;-7.710885937891496E-001;
4.630000000000000E+008;5.817601561883116E-001;-7.860556003250583E-001;
4.740000000000000E+008;5.635678991618569E-001;-8.004004094368830E-001;
4.850000000000000E+008;5.446861813755729E-001;-8.145237635708135E-001;
4.960000000000000E+008;5.238498718561796E-001;-8.280722464921246E-001;
5.070000000000000E+008;5.017239452757606E-001;-8.407474680590678E-001;
5.180000000000000E+008;4.777038226148317E-001;-8.526165813209271E-001;
5.290000000000000E+008;4.528933924336802E-001;-8.637099370381441E-001;
5.400000000000000E+008;4.276460523931772E-001;-8.734729512802230E-001;
5.510000000000000E+008;4.032942083374697E-001;-8.819254523600583E-001;
5.620000000000000E+008;3.798167290171494E-001;-8.903646692332558E-001;
5.730000000000000E+008;3.580608698782540E-001;-8.989311549060417E-001;
5.840000000000000E+008;3.371630663826414E-001;-9.064491798510820E-001;
5.950000000000000E+008;3.158285899150473E-001;-9.128823832079014E-001;
6.060000000000000E+008;2.915503925218114E-001;-9.200088454726385E-001;
6.170000000000000E+008;2.643401664820921E-001;-9.256023898783764E-001;
6.280000000000000E+008;2.362735455992028E-001;-9.291990960816707E-001;
6.390000000000000E+008;2.084524828672289E-001;-9.344756170256203E-001;
6.500000000000000E+008;1.802173802594961E-001;-9.378913441040823E-001;
6.610000000000000E+008;1.549360259938906E-001;-9.411130744865841E-001;
6.720000000000000E+008;1.276613014910840E-001;-9.423711255688835E-001;
6.830000000000000E+008;1.011056141585095E-001;-9.413395567764634E-001;
6.940000000000000E+008;7.440448801490150E-002;-9.397920311809387E-001;
7.050000000000000E+008;4.580003065753663E-002;-9.373208521920166E-001;
7.160000000000000E+008;1.284397932155506E-002;-9.335796745662565E-001;
7.270000000000000E+008;-1.842847238559017E-002;-9.251526390228424E-001;
7.380000000000000E+008;-4.966115298554291E-002;-9.177711482661267E-001;
7.490000000000000E+008;-8.512008514033678E-002;-9.101981521544235E-001;
7.600000000000000E+008;-1.181073572590841E-001;-8.972374316195606E-001;
7.710000000000000E+008;-1.452194261227307E-001;-8.842229454582316E-001;
7.820000000000000E+008;-1.740481975178486E-001;-8.709520174892563E-001;
7.930000000000000E+008;-2.029128283200921E-001;-8.522758466537702E-001;
8.040000000000000E+008;-2.302718638492511E-001;-8.285983207350243E-001;
8.150000000000000E+008;-2.539427289800018E-001;-7.984295804008220E-001;
8.260000000000000E+008;-2.771915199914880E-001;-7.735135189431902E-001;
8.370000000000000E+008;-3.013519949824426E-001;-7.448460817215702E-001;
8.480000000000000E+008;-3.165390491808431E-001;-7.141899826442443E-001;
8.590000000000000E+008;-3.305303586083780E-001;-6.964511186145749E-001;
8.700000000000000E+008;-3.474428109952100E-001;-6.710140334273298E-001;
8.810000000000000E+008;-3.592339085380455E-001;-6.392669648408229E-001;
8.920000000000000E+008;-3.614093142155739E-001;-6.096705824180335E-001;
9.030000000000000E+008;-3.699274450929316E-001;-5.881166090856888E-001;
9.140000000000000E+008;-3.826254379849678E-001;-5.562128130121545E-001;
9.250000000000000E+008;-3.898959330147649E-001;-5.252624464935860E-001;
9.360000000000000E+008;-3.942314928008678E-001;-4.907712574900137E-001;
9.470000000000000E+008;-4.025501328184208E-001;-4.583099069766712E-001;
9.580000000000000E+008;-3.990258449591511E-001;-4.267225520163246E-001;
9.690000000000000E+008;-3.917581892667337E-001;-4.077075345716939E-001;
9.800000000000000E+008;-3.955562874950676E-001;-3.826035686613065E-001;
9.910000000000000E+008;-3.866821752239381E-001;-3.550082696804439E-001;
1.002000000000000E+009;-3.739129488605281E-001;-3.242567734727702E-001;
1.013000000000000E+009;-3.614254021264021E-001;-3.002928356651863E-001;
1.024000000000000E+009;-3.469734801795609E-001;-2.753794014425933E-001;
1.035000000000000E+009;-3.462865571208467E-001;-2.554969235576760E-001;
1.046000000000000E+009;-3.461671690185091E-001;-2.301530552375019E-001;
1.057000000000000E+009;-3.406662954945952E-001;-2.034220586532806E-001;
1.068000000000000E+009;-3.220331643786438E-001;-1.879839363073205E-001;
1.079000000000000E+009;-3.284273175781670E-001;-1.733138485221455E-001;
1.090000000000000E+009;-3.132597593878775E-001;-1.398711485686995E-001;
1.101000000000000E+009;-2.901494196886249E-001;-1.135036195214223E-001;
1.112000000000000E+009;-2.592236486183829E-001;-8.372417808553924E-002;
1.123000000000000E+009;-2.314452001648998E-001;-6.845935983151645E-002;
1.134000000000000E+009;-2.136292588128960E-001;-4.648099806229526E-002;
1.145000000000000E+009;-1.925247743648641E-001;-2.363387546609338E-002;
1.156000000000000E+009;-1.649807522618819E-001;-3.018355140951595E-003;
1.167000000000000E+009;-1.447500760067870E-001;7.381472628183412E-003;
1.178000000000000E+009;-1.156518673723608E-001;1.821032828195783E-002;
1.189000000000000E+009;-8.450974106538066E-002;1.478025468912412E-002;
1.200000000000000E+009;-5.768031954339586E-002;3.089987798310142E-002;
1.211000000000000E+009;-1.523911838861259E-002;4.105917226583716E-002;
1.222000000000000E+009;2.888101903767317E-002;4.844033391012519E-002;
1.233000000000000E+009;7.766644502439246E-002;5.133879443058170E-002;
1.244000000000000E+009;1.191138514803305E-001;3.365431762839258E-002;
