# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;9.732179281443901E-001;-2.138531205757988E-001;
1.110000000000000E+008;9.667578140405532E-001;-2.390335474338851E-001;
1.220000000000000E+008;9.587354276860691E-001;-2.630867246091292E-001;
1.330000000000000E+008;9.484306375397752E-001;-2.884763477703445E-001;
1.440000000000000E+008;9.343225955030841E-001;-3.120374997665464E-001;
1.550000000000000E+008;9.200675482533562E-001;-3.275775116103811E-001;
1.660000000000000E+008;9.127921145867265E-001;-3.445703770989043E-001;
1.770000000000000E+008;9.046386798650390E-001;-3.647149419844143E-001;
1.880000000000000E+008;8.932255395903266E-001;-3.811942410470464E-001;
1.990000000000000E+008;8.844697550334255E-001;-3.948579295424519E-001;
2.100000000000000E+008;8.796101144190974E-001;-4.135015392404537E-001;
2.210000000000000E+008;8.701845916500192E-001;-4.363295488415646E-001;
2.320000000000000E+008;8.557453431181014E-001;-4.585702149269662E-001;
2.430000000000000E+008;8.408452104703190E-001;-4.768419233469735E-001;
2.540000000000000E+008;8.275024607978235E-001;-4.926276199930015E-001;
2.650000000000000E+008;8.150044891257243E-001;-5.052665433522109E-001;
2.760000000000000E+008;8.051873809246355E-001;-5.170355659701280E-001;
2.870000000000000E+008;7.974414422735313E-001;-5.285663178930621E-001;
2.980000000000000E+008;7.901318987991972E-001;-5.438420389708201E-001;
3.090000000000000E+008;7.812122829234565E-001;-5.634361727025596E-001;
3.200000000000000E+008;7.677798324854442E-001;-5.833379313339434E-001;
3.310000000000000E+008;7.519313735382897E-001;-6.023955361955968E-001;
3.420000000000000E+008;7.347054665039215E-001;-6.193063493447025E-001;
3.530000000000000E+008;7.170998234758411E-001;-6.345310253731967E-001;
3.640000000000000E+008;7.008293249156967E-001;-6.472399110664530E-001;
3.750000000000000E+008;6.849924018594520E-001;-6.582652356573866E-001;
3.860000000000000E+008;6.711344041207370E-001;-6.669140386059880E-001;
3.970000000000000E+008;6.582951171199767E-001;-6.747795129119684E-001;
4.080000000000000E+008;6.475426089207702E-001;-6.833558969192919E-001;
4.190000000000000E+008;6.376706751837882E-001;-6.966900777767133E-001;
4.300000000000000E+008;6.250453782653811E-001;-7.130914557682357E-001;
4.410000000000000E+008;6.119550599599798E-001;-7.310788918975137E-001;
4.520000000000000E+008;5.974762631981848E-001;-7.501636130721361E-001;
4.630000000000000E+008;5.816868494424361E-001;-7.688379797208040E-001;
4.740000000000000E+008;5.640349579228000E-001;-7.859258932673656E-001;
4.850000000000000E+008;5.455676331045796E-001;-8.019117493387037E-001;
4.960000000000000E+008;5.245707238432147E-001;-8.174228375111000E-001;
5.070000000000000E+008;5.016130073404702E-001;-8.314434802917857E-001;
5.180000000000000E+008;4.762468039147948E-001;-8.443521855084281E-001;
5.290000000000000E+008;4.500728238745172E-001;-8.559983710877874E-001;
5.400000000000000E+008;4.236228926450213E-001;-8.655815307882093E-001;
5.510000000000000E+008;3.987474924022793E-001;-8.736397507130754E-001;
5.620000000000000E+008;3.754050024137007E-001;-8.815967360734160E-001;
5.730000000000000E+008;3.537036349477749E-001;-8.893476294913942E-001;
5.840000000000000E+008;3.340819586552885E-001;-8.956331822407413E-001;
5.950000000000000E+008;3.138011336594628E-001;-9.016895335885166E-001;
6.060000000000000E+008;2.914574446635631E-001;-9.079584967934435E-001;
6.170000000000000E+008;2.654580032592943E-001;-9.140603119939232E-001;
6.280000000000000E+008;2.382214619282207E-001;-9.186481271238788E-001;
6.390000000000000E+008;2.111614550909038E-001;-9.246377790632629E-001;
6.500000000000000E+008;1.836503776411320E-001;-9.295573760177867E-001;
6.610000000000000E+008;1.591046377117689E-001;-9.348430886477466E-001;
6.720000000000000E+008;1.321378447658053E-001;-9.383567837109399E-001;
6.830000000000000E+008;1.053106443186539E-001;-9.400458672862352E-001;
6.940000000000000E+008;7.793137760051336E-002;-9.408720544602875E-001;
7.050000000000000E+008;4.799230824111678E-002;-9.402334907485194E-001;
7.160000000000000E+008;1.389212011043949E-002;-9.379267166714108E-001;
7.270000000000000E+008;-2.079178446549515E-002;-9.306737629777833E-001;
7.380000000000000E+008;-5.369142034641376E-002;-9.228108651455604E-001;
7.490000000000000E+008;-8.911306615089033E-002;-9.158340380088191E-001;
7.600000000000000E+008;-1.242301402311742E-001;-9.048901855746520E-001;
7.710000000000000E+008;-1.516773273220394E-001;-8.933388326385304E-001;
7.820000000000000E+008;-1.813898992690398E-001;-8.824887188587757E-001;
7.930000000000000E+008;-2.101266640876246E-001;-8.680673311156602E-001;
8.040000000000000E+008;-2.424437882373074E-001;-8.498569581059643E-001;
8.150000000000000E+008;-2.737728970034305E-001;-8.242768089636303E-001;
8.260000000000000E+008;-3.037702346570593E-001;-7.991165116160296E-001;
8.370000000000000E+008;-3.338748974289277E-001;-7.729056026203036E-001;
8.480000000000000E+008;-3.658303128236008E-001;-7.449927867219168E-001;
8.590000000000000E+008;-3.885862609856594E-001;-7.163663929931365E-001;
8.700000000000000E+008;-4.135709966470385E-001;-6.904473891542626E-001;
8.810000000000000E+008;-4.381334091986051E-001;-6.506507742259930E-001;
8.920000000000000E+008;-4.538981949408475E-001;-6.107883295798235E-001;
9.030000000000000E+008;-4.639806370932426E-001;-5.702047777069474E-001;
9.140000000000000E+008;-4.792304644432050E-001;-5.290791762708096E-001;
9.250000000000000E+008;-4.894055623553856E-001;-4.850942091888226E-001;
9.360000000000000E+008;-4.978026292180093E-001;-4.354187769420561E-001;
9.470000000000000E+008;-4.999439169577702E-001;-3.882163119328498E-001;
9.580000000000000E+008;-5.054964964037504E-001;-3.440273636549356E-001;
9.690000000000000E+008;-4.922861036571836E-001;-2.948271888760610E-001;
9.800000000000000E+008;-4.805248283942378E-001;-2.607563838227724E-001;
9.910000000000000E+008;-4.700374720939406E-001;-2.133626438104179E-001;
1.002000000000000E+009;-4.413304388456721E-001;-1.603166923223100E-001;
1.013000000000000E+009;-4.110617862096144E-001;-1.259210964307953E-001;
1.024000000000000E+009;-3.786364006430522E-001;-6.856107012315703E-002;
1.035000000000000E+009;-3.456685898411386E-001;-3.664561571810356E-002;
1.046000000000000E+009;-3.027121060463723E-001;-7.704901098910607E-003;
1.057000000000000E+009;-2.710004321115648E-001;-2.554857433548457E-003;
1.068000000000000E+009;-2.431235700581874E-001;2.144404878358799E-002;
1.079000000000000E+009;-2.001533658352504E-001;3.788064293074583E-002;
1.090000000000000E+009;-1.532461364641997E-001;3.589096319252927E-002;
1.101000000000000E+009;-1.226535352805296E-001;3.326946813606746E-002;
1.112000000000000E+009;-8.423277590682435E-002;4.453655967312854E-002;
1.123000000000000E+009;-4.829598371260886E-002;4.908770976750420E-002;
1.134000000000000E+009;-1.177021766077069E-002;5.651889794219129E-002;
1.145000000000000E+009;2.059015077928973E-002;5.984921970211303E-002;
1.156000000000000E+009;5.499286361426351E-002;5.818655897818825E-002;
1.167000000000000E+009;8.976241868066597E-002;4.683798700703176E-002;
1.178000000000000E+009;1.279694193225640E-001;2.666519119151072E-002;
1.189000000000000E+009;1.558983629956801E-001;-8.228096846938681E-003;
1.200000000000000E+009;1.797417763162793E-001;-2.548394526242176E-002;
1.211000000000000E+009;2.066469491737340E-001;-4.535384432892138E-002;
1.222000000000000E+009;2.302290668438873E-001;-6.664778474193184E-002;
1.233000000000000E+009;2.533916367050847E-001;-8.225387943797242E-002;
1.244000000000000E+009;2.641238772680588E-001;-1.150425253087929E-001;
1.255000000000000E+009;2.662180265216472E-001;-1.178454423660971E-001;
1.266000000000000E+009;2.799997503958495E-001;-1.361584584019533E-001;
1.277000000000000E+009;2.959372380590296E-001;-1.469277739289981E-001;
1.288000000000000E+009;3.141902671171835E-001;-1.674099404801437E-001;
1.299000000000000E+009;3.392716587521109E-001;-2.064433947962560E-001;
1.310000000000000E+009;3.445925545615111E-001;-2.393013309489511E-001;
1.321000000000000E+009;3.475345647019708E-001;-2.709898175717156E-001;
1.332000000000000E+009;3.538741700224870E-001;-2.768935912770832E-001;
1.343000000000000E+009;3.640553890308048E-001;-3.030314121768757E-001;
1.354000000000000E+009;3.675388638702081E-001;-3.271626350676421E-001;
1.365000000000000E+009;3.581522592972007E-001;-3.476906957858145E-001;
1.376000000000000E+009;3.570616938004078E-001;-3.807286119868108E-001;
1.387000000000000E+009;3.435822282911875E-001;-3.998625025270277E-001;
1.398000000000000E+009;3.423185657679986E-001;-4.248247976980722E-001;
1.409000000000000E+009;3.342906630612857E-001;-4.467780009661392E-001;
1.420000000000000E+009;3.274130560738286E-001;-4.628813385004204E-001;
1.431000000000000E+009;3.206570360265841E-001;-4.753671053600762E-001;
1.442000000000000E+009;3.211367811458134E-001;-4.870091701162372E-001;
1.453000000000000E+009;3.066573331564215E-001;-5.017834185909423E-001;
1.464000000000000E+009;2.978756829076386E-001;-5.061338545118891E-001;
1.475000000000000E+009;2.892975896996228E-001;-5.234031346013721E-001;
1.486000000000000E+009;2.791682919447464E-001;-5.367591548241001E-001;
1.497000000000000E+009;2.703852173675323E-001;-5.570527166381495E-001;
1.508000000000000E+009;2.618043593186508E-001;-5.748228491734003E-001;
1.519000000000000E+009;2.560927941332263E-001;-5.909444928802503E-001;
1.530000000000000E+009;2.440047672402365E-001;-6.008121833074911E-001;
1.541000000000000E+009;2.385201490605841E-001;-6.024215324253233E-001;
1.552000000000000E+009;2.294516938332787E-001;-6.088055038688061E-001;
1.563000000000000E+009;2.169220499637081E-001;-6.137222691329313E-001;
1.574000000000000E+009;2.075655084258787E-001;-6.198691259934364E-001;
1.585000000000000E+009;1.974501175083105E-001;-6.358721211036514E-001;
1.596000000000000E+009;1.826809262725194E-001;-6.484788746451602E-001;
1.607000000000000E+009;1.717791842871495E-001;-6.631522482529502E-001;
1.618000000000000E+009;1.600159319872367E-001;-6.734104211033876E-001;
1.629000000000000E+009;1.567424871759638E-001;-6.784389607288035E-001;
1.640000000000000E+009;1.517748259510043E-001;-6.847346446002884E-001;
1.651000000000000E+009;1.465337825540829E-001;-6.882032835164585E-001;
1.662000000000000E+009;1.389649496137955E-001;-6.944837683317633E-001;
1.673000000000000E+009;1.224317749949423E-001;-7.011558426345056E-001;
1.684000000000000E+009;1.020539659145696E-001;-7.057855692967474E-001;
1.695000000000000E+009;8.717162476936076E-002;-7.107801651877627E-001;
1.706000000000000E+009;7.538591941490375E-002;-7.209567143102530E-001;
1.717000000000000E+009;6.430721459569788E-002;-7.293392823538101E-001;
1.728000000000000E+009;5.829896643794511E-002;-7.354821472412377E-001;
1.739000000000000E+009;5.138311708207916E-002;-7.383260926254283E-001;
1.750000000000000E+009;4.471669845024907E-002;-7.389551115454277E-001;
1.761000000000000E+009;3.603830067611004E-002;-7.406190370141673E-001;
1.772000000000000E+009;2.330189196724162E-002;-7.424574056455046E-001;
1.783000000000000E+009;9.754850614213169E-003;-7.476237987871310E-001;
1.794000000000000E+009;-1.004940047754729E-002;-7.523160093240400E-001;
1.805000000000000E+009;-2.815212850940486E-002;-7.548065778272998E-001;
1.816000000000000E+009;-3.828412193852475E-002;-7.578117888823583E-001;
1.827000000000000E+009;-4.508013900069609E-002;-7.639510714096066E-001;
1.838000000000000E+009;-5.057082324411527E-002;-7.681196183262726E-001;
1.849000000000000E+009;-5.506400104236543E-002;-7.724480393754136E-001;
1.860000000000000E+009;-6.668772070679752E-002;-7.757426728870031E-001;
1.871000000000000E+009;-8.184887880343827E-002;-7.729693902550904E-001;
1.882000000000000E+009;-9.809678806519964E-002;-7.696935192942720E-001;
