# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;9.948893236632725E-001;-8.623370051287246E-002;
1.110000000000000E+008;9.940092536946367E-001;-9.632072694870937E-002;
1.220000000000000E+008;9.925514034422854E-001;-1.066394032590959E-001;
1.330000000000000E+008;9.908417440825272E-001;-1.176054782618963E-001;
1.440000000000000E+008;9.887266867692784E-001;-1.287808745792198E-001;
1.550000000000000E+008;9.860744173940885E-001;-1.396030785143282E-001;
1.660000000000000E+008;9.831525144935223E-001;-1.502121154555449E-001;
1.770000000000000E+008;9.795191627030391E-001;-1.585396894409663E-001;
1.880000000000000E+008;9.768831775764074E-001;-1.651566339094472E-001;
1.990000000000000E+008;9.743738770935194E-001;-1.711982670160197E-001;
2.100000000000000E+008;9.727158846072233E-001;-1.782824175538022E-001;
2.210000000000000E+008;9.719930274473316E-001;-1.864210865897929E-001;
2.320000000000000E+008;9.707648952706165E-001;-1.979337546957610E-001;
2.430000000000000E+008;9.681704438813136E-001;-2.096068397798243E-001;
2.540000000000000E+008;9.654113832161695E-001;-2.206520914875078E-001;
2.650000000000000E+008;9.626771505789140E-001;-2.301420444904651E-001;
2.760000000000000E+008;9.600465476030106E-001;-2.380969886318685E-001;
2.870000000000000E+008;9.578671327467452E-001;-2.445023284065724E-001;
2.980000000000000E+008;9.554176814851644E-001;-2.520025075842829E-001;
3.090000000000000E+008;9.526881425687805E-001;-2.593669151563954E-001;
3.200000000000000E+008;9.489611621066512E-001;-2.681133604128026E-001;
3.310000000000000E+008;9.447837086880006E-001;-2.779416431965874E-001;
3.420000000000000E+008;9.401648422858788E-001;-2.874965576865493E-001;
3.530000000000000E+008;9.367985030433268E-001;-2.968176294436765E-001;
3.640000000000000E+008;9.350658303133798E-001;-3.061241220113025E-001;
3.750000000000000E+008;9.328121431994821E-001;-3.153653973776771E-001;
3.860000000000000E+008;9.311328705998407E-001;-3.224453207154766E-001;
3.970000000000000E+008;9.293931157183812E-001;-3.295027179292842E-001;
4.080000000000000E+008;9.264430616561572E-001;-3.368047613026461E-001;
4.190000000000000E+008;9.233438135085742E-001;-3.450975268750550E-001;
4.300000000000000E+008;9.192834264094981E-001;-3.557353139478038E-001;
4.410000000000000E+008;9.145011715025658E-001;-3.676174955372304E-001;
4.520000000000000E+008;9.093825933362192E-001;-3.798456055293337E-001;
4.630000000000000E+008;9.044525683403795E-001;-3.909611678201299E-001;
4.740000000000000E+008;9.006854992172738E-001;-4.005700717175891E-001;
4.850000000000000E+008;8.983025493197000E-001;-4.097090895964125E-001;
4.960000000000000E+008;8.957814167942824E-001;-4.188661719078784E-001;
5.070000000000000E+008;8.925323825615161E-001;-4.282064673107152E-001;
5.180000000000000E+008;8.876476892558863E-001;-4.386331109114838E-001;
5.290000000000000E+008;8.811477743069555E-001;-4.503895479660707E-001;
5.400000000000000E+008;8.733643856973324E-001;-4.628743349253248E-001;
5.510000000000000E+008;8.648808710666355E-001;-4.758222234554216E-001;
5.620000000000000E+008;8.567730166280261E-001;-4.884895010789573E-001;
5.730000000000000E+008;8.501911793873502E-001;-5.008206371269515E-001;
5.840000000000000E+008;8.445640694235536E-001;-5.119350051310657E-001;
5.950000000000000E+008;8.391880628670138E-001;-5.218836973688631E-001;
6.060000000000000E+008;8.329681380861322E-001;-5.320668254488230E-001;
6.170000000000000E+008;8.247295956648479E-001;-5.426921246318910E-001;
6.280000000000000E+008;8.147485061265140E-001;-5.540720326133234E-001;
6.390000000000000E+008;8.031577321838334E-001;-5.663937000501248E-001;
6.500000000000000E+008;7.910702810588846E-001;-5.791964918424221E-001;
6.610000000000000E+008;7.803780314644874E-001;-5.910022798524259E-001;
6.720000000000000E+008;7.703680958371260E-001;-6.021289944088289E-001;
6.830000000000000E+008;7.610526185871918E-001;-6.126554874363115E-001;
6.940000000000000E+008;7.526648231218982E-001;-6.224149251167495E-001;
7.050000000000000E+008;7.441808579745436E-001;-6.325360598151238E-001;
7.160000000000000E+008;7.342131449326186E-001;-6.436786419295014E-001;
7.270000000000000E+008;7.222444136141849E-001;-6.547084144195786E-001;
7.380000000000000E+008;7.080419422340537E-001;-6.662123551896403E-001;
7.490000000000000E+008;6.915678787931925E-001;-6.786708389631345E-001;
7.600000000000000E+008;6.747990678123054E-001;-6.909540603777643E-001;
7.710000000000000E+008;6.596015343946489E-001;-7.023439752565885E-001;
7.820000000000000E+008;6.459368464642200E-001;-7.131928686821710E-001;
7.930000000000000E+008;6.345108232520624E-001;-7.224237782913230E-001;
8.040000000000000E+008;6.226960959729635E-001;-7.323357843570991E-001;
8.150000000000000E+008;6.074663521485573E-001;-7.408610802908303E-001;
8.260000000000000E+008;5.911304141250424E-001;-7.505701657506485E-001;
8.370000000000000E+008;5.693343085178703E-001;-7.609784937770271E-001;
8.480000000000000E+008;5.472194043330949E-001;-7.717908085212724E-001;
8.590000000000000E+008;5.252506037970482E-001;-7.827084659929289E-001;
8.700000000000000E+008;5.041993362112576E-001;-7.930017630697437E-001;
8.810000000000000E+008;4.823579401569605E-001;-8.018644272755788E-001;
8.920000000000000E+008;4.619231399860475E-001;-8.088095881363141E-001;
9.030000000000000E+008;4.411812883782517E-001;-8.156223257076127E-001;
9.140000000000000E+008;4.193649733754000E-001;-8.215957978000371E-001;
9.250000000000000E+008;3.959614945718384E-001;-8.263308978701022E-001;
9.360000000000000E+008;3.680453764886669E-001;-8.303429669224138E-001;
9.470000000000000E+008;3.368868446012346E-001;-8.335591503622442E-001;
9.580000000000000E+008;3.061856528257556E-001;-8.378237703081511E-001;
9.690000000000000E+008;2.732858751746745E-001;-8.417164669653102E-001;
9.800000000000000E+008;2.433938988623832E-001;-8.433475033048536E-001;
9.910000000000000E+008;2.172035425495101E-001;-8.435718896621334E-001;
1.002000000000000E+009;1.881410434984149E-001;-8.432394114460836E-001;
1.013000000000000E+009;1.596956888740998E-001;-8.369457742572337E-001;
1.024000000000000E+009;1.262191094669347E-001;-8.324204958379254E-001;
1.035000000000000E+009;8.612829899685229E-002;-8.246183129206863E-001;
1.046000000000000E+009;4.394544357233408E-002;-8.102386497969673E-001;
1.057000000000000E+009;6.668278416479630E-003;-7.929073574775513E-001;
1.068000000000000E+009;-2.737429364384498E-002;-7.768505013411656E-001;
1.079000000000000E+009;-6.363564109483728E-002;-7.594910455946591E-001;
1.090000000000000E+009;-9.021925377503234E-002;-7.347993502527955E-001;
1.101000000000000E+009;-1.121011064733129E-001;-7.193059115155938E-001;
1.112000000000000E+009;-1.437348894715483E-001;-7.036519772493464E-001;
1.123000000000000E+009;-1.764293263191466E-001;-6.728244680888466E-001;
1.134000000000000E+009;-2.103091039857461E-001;-6.383271189417641E-001;
1.145000000000000E+009;-2.360307983161030E-001;-6.000271300885964E-001;
1.156000000000000E+009;-2.706983564854425E-001;-5.646094802581517E-001;
1.167000000000000E+009;-2.943648480593020E-001;-5.247658584374579E-001;
1.178000000000000E+009;-3.211167749603305E-001;-4.900986391924664E-001;
1.189000000000000E+009;-3.351821449309399E-001;-4.493174756559521E-001;
1.200000000000000E+009;-3.534474495950450E-001;-4.102842337076345E-001;
