# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;7.117536136541675E-001;-6.721112060727416E-001;
1.110000000000000E+008;6.486464405321147E-001;-7.270962987885176E-001;
1.220000000000000E+008;5.842869973116310E-001;-7.752060952410134E-001;
1.330000000000000E+008;5.144557379493407E-001;-8.214590193682834E-001;
1.440000000000000E+008;4.392790602211821E-001;-8.563321851631608E-001;
1.550000000000000E+008;3.643531800236647E-001;-8.862973365218888E-001;
1.660000000000000E+008;2.860210964123562E-001;-9.108893875894880E-001;
1.770000000000000E+008;2.014306589849693E-001;-9.261439572775927E-001;
1.880000000000000E+008;1.152978616777820E-001;-9.300098823239813E-001;
1.990000000000000E+008;3.356869236127554E-002;-9.149729009217864E-001;
2.100000000000000E+008;-2.791579564197545E-002;-8.919653619390899E-001;
2.210000000000000E+008;-7.855618163647467E-002;-8.817330746192758E-001;
2.320000000000000E+008;-1.367252553676830E-001;-8.812160652882376E-001;
2.430000000000000E+008;-2.012547285780810E-001;-8.819514323324822E-001;
2.540000000000000E+008;-2.835449878348888E-001;-8.762065444988999E-001;
2.650000000000000E+008;-3.681302266482671E-001;-8.524970210614268E-001;
2.760000000000000E+008;-4.467087715534558E-001;-8.124272185517506E-001;
2.870000000000000E+008;-5.146970943059198E-001;-7.666019917408788E-001;
2.980000000000000E+008;-5.772916687623396E-001;-7.184307931649043E-001;
3.090000000000000E+008;-6.362894813794549E-001;-6.689020530849702E-001;
3.200000000000000E+008;-6.992891043390103E-001;-6.145611105313089E-001;
3.310000000000000E+008;-7.588098066111382E-001;-5.474718297244016E-001;
3.420000000000000E+008;-8.092059846372268E-001;-4.747151477328793E-001;
3.530000000000000E+008;-8.539542361233269E-001;-3.944240000470219E-001;
3.640000000000000E+008;-8.898800078365651E-001;-3.089018351381837E-001;
3.750000000000000E+008;-9.170636410825077E-001;-2.189281735445471E-001;
3.860000000000000E+008;-9.346161145010928E-001;-1.255827552762164E-001;
3.970000000000000E+008;-9.430262898738934E-001;-2.950751189735993E-002;
4.080000000000000E+008;-9.390248724962170E-001;6.849093698184013E-002;
4.190000000000000E+008;-9.245657451682786E-001;1.638484795305447E-001;
