# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;7.230673580590792E-001;-6.558032018255980E-001;
1.110000000000000E+008;6.667336937979314E-001;-7.093073875602886E-001;
1.220000000000000E+008;6.060400650915856E-001;-7.580603657822481E-001;
1.330000000000000E+008;5.415350262524172E-001;-8.056179317687253E-001;
1.440000000000000E+008;4.722853734902202E-001;-8.406358487816859E-001;
1.550000000000000E+008;4.024741312800836E-001;-8.751068790742084E-001;
1.660000000000000E+008;3.277566838785006E-001;-9.047916553072457E-001;
1.770000000000000E+008;2.457296046332737E-001;-9.240869346102417E-001;
1.880000000000000E+008;1.637309910444909E-001;-9.318673159452201E-001;
1.990000000000000E+008;8.792531904064971E-002;-9.236233832808595E-001;
2.100000000000000E+008;2.767834372522136E-002;-9.163370376769360E-001;
2.210000000000000E+008;-3.510359400456015E-002;-9.171035184986118E-001;
2.320000000000000E+008;-1.012413495918471E-001;-9.155755330583625E-001;
2.430000000000000E+008;-1.724677666175112E-001;-9.117426511827192E-001;
2.540000000000000E+008;-2.512122190495373E-001;-9.015179993138278E-001;
2.650000000000000E+008;-3.276753044190839E-001;-8.792793898310728E-001;
2.760000000000000E+008;-4.041286471568568E-001;-8.488582247501955E-001;
2.870000000000000E+008;-4.743771289912684E-001;-8.092644246545391E-001;
2.980000000000000E+008;-5.393507974940077E-001;-7.657647295606995E-001;
3.090000000000000E+008;-6.005570751135008E-001;-7.190386054766321E-001;
3.200000000000000E+008;-6.625311683987559E-001;-6.699567157760582E-001;
3.310000000000000E+008;-7.229393364864860E-001;-6.092213959798749E-001;
3.420000000000000E+008;-7.742622403427402E-001;-5.428941015616908E-001;
3.530000000000000E+008;-8.214932655432534E-001;-4.716452718441084E-001;
3.640000000000000E+008;-8.615610597990410E-001;-3.942255591604455E-001;
3.750000000000000E+008;-8.919733783285936E-001;-3.124603962300999E-001;
3.860000000000000E+008;-9.137050230400635E-001;-2.317731982804600E-001;
3.970000000000000E+008;-9.327240589336380E-001;-1.516036574017206E-001;
4.080000000000000E+008;-9.468684649083291E-001;-6.564217392700525E-002;
4.190000000000000E+008;-9.514123246224473E-001;2.401123331724097E-002;
4.300000000000000E+008;-9.460633475492437E-001;1.148663756087155E-001;
4.410000000000000E+008;-9.304410959071156E-001;2.042876510646171E-001;
4.520000000000000E+008;-9.064949728957571E-001;2.927441900393534E-001;
4.630000000000000E+008;-8.735606033646235E-001;3.781126451547043E-001;
4.740000000000000E+008;-8.321744347383600E-001;4.604655165620475E-001;
4.850000000000000E+008;-7.823403637797703E-001;5.386447143113126E-001;
4.960000000000000E+008;-7.242984374669143E-001;6.106428108779065E-001;
5.070000000000000E+008;-6.596744964018158E-001;6.766839389668391E-001;
5.180000000000000E+008;-5.889078945378414E-001;7.361977315595130E-001;
5.290000000000000E+008;-5.109385006395742E-001;7.881676019254132E-001;
5.400000000000000E+008;-4.283801318370905E-001;8.305231272603225E-001;
5.510000000000000E+008;-3.428327710219256E-001;8.628724976887782E-001;
5.620000000000000E+008;-2.568046611636260E-001;8.854158622837762E-001;
5.730000000000000E+008;-1.714080053724037E-001;8.980345233465106E-001;
5.840000000000000E+008;-9.011515448923002E-002;9.049543261852628E-001;
5.950000000000000E+008;-6.720321617611501E-003;9.082446972250398E-001;
6.060000000000000E+008;7.824393003352004E-002;9.026647227574438E-001;
6.170000000000000E+008;1.617159136553474E-001;8.882523110815624E-001;
6.280000000000000E+008;2.455697182777414E-001;8.677071905439557E-001;
6.390000000000000E+008;3.276485752276428E-001;8.359457589843411E-001;
6.500000000000000E+008;4.044367912077099E-001;7.942687558364413E-001;
6.610000000000000E+008;4.735846398849183E-001;7.465707708161956E-001;
6.720000000000000E+008;5.355746384811735E-001;6.947593888084666E-001;
6.830000000000000E+008;5.932639683210069E-001;6.379419456884914E-001;
6.940000000000000E+008;6.408087619388286E-001;5.765219108225167E-001;
7.050000000000000E+008;6.834903739241883E-001;5.173087287825277E-001;
7.160000000000000E+008;7.241878771861627E-001;4.539094940410865E-001;
7.270000000000000E+008;7.576492474457722E-001;3.868642545313869E-001;
7.380000000000000E+008;7.835665683705525E-001;3.167553162688866E-001;
7.490000000000000E+008;8.043903194122466E-001;2.485265036417048E-001;
7.600000000000000E+008;8.187640366846957E-001;1.760531158777935E-001;
7.710000000000000E+008;8.288514327302606E-001;1.042994867022167E-001;
7.820000000000000E+008;8.315426559443863E-001;2.842063828836001E-002;
7.930000000000000E+008;8.242523740247678E-001;-4.804024629694475E-002;
8.040000000000000E+008;8.075561612775479E-001;-1.184294536371136E-001;
8.150000000000000E+008;7.900948223607861E-001;-1.873122248916460E-001;
8.260000000000000E+008;7.626398278926184E-001;-2.535833609259779E-001;
8.370000000000000E+008;7.327148625359018E-001;-3.178320210686105E-001;
8.480000000000000E+008;6.930070253397157E-001;-3.805722572931060E-001;
8.590000000000000E+008;6.463852986496699E-001;-4.347227685612047E-001;
8.700000000000000E+008;5.945899378667121E-001;-4.810466022441631E-001;
8.810000000000000E+008;5.415017065446935E-001;-5.173761157567471E-001;
8.920000000000000E+008;4.938291902023244E-001;-5.497465857028249E-001;
9.030000000000000E+008;4.421051069146270E-001;-5.842579525830315E-001;
9.140000000000000E+008;3.811330861523972E-001;-6.123768487686071E-001;
9.250000000000000E+008;3.177544910238963E-001;-6.305683110361687E-001;
9.360000000000000E+008;2.534953040267865E-001;-6.359754415702162E-001;
9.470000000000000E+008;1.964201186751899E-001;-6.354924434671370E-001;
9.580000000000000E+008;1.396373029670574E-001;-6.314996373369478E-001;
9.690000000000000E+008;8.378377714991422E-002;-6.189722039439070E-001;
9.800000000000000E+008;3.261622973471686E-002;-6.000907685421030E-001;
9.910000000000000E+008;-1.231276752296363E-002;-5.717806993749400E-001;
1.002000000000000E+009;-4.064398876888993E-002;-5.449354242164711E-001;
1.013000000000000E+009;-7.096562992459211E-002;-5.253876384469021E-001;
1.024000000000000E+009;-1.031976953347665E-001;-5.028570295151285E-001;
1.035000000000000E+009;-1.381423563601073E-001;-4.698517673087782E-001;
1.046000000000000E+009;-1.529667203345055E-001;-4.242012372126602E-001;
1.057000000000000E+009;-1.502374320018146E-001;-3.877591026191358E-001;
1.068000000000000E+009;-1.403639759443479E-001;-3.682440754172922E-001;
1.079000000000000E+009;-1.387103812368537E-001;-3.618537509262517E-001;
1.090000000000000E+009;-1.462186320787705E-001;-3.527560111592699E-001;
1.101000000000000E+009;-1.526524358825255E-001;-3.378710842739682E-001;
1.112000000000000E+009;-1.524861329467498E-001;-3.199767678807464E-001;
1.123000000000000E+009;-1.459116886247474E-001;-3.109988805766237E-001;
1.134000000000000E+009;-1.437650453602255E-001;-3.073819114167916E-001;
1.145000000000000E+009;-1.390867882946320E-001;-3.048274410297667E-001;
1.156000000000000E+009;-1.316150993183365E-001;-3.082303641594660E-001;
1.167000000000000E+009;-1.261153447193170E-001;-3.273074104282503E-001;
1.178000000000000E+009;-1.414448507472172E-001;-3.497755333694002E-001;
1.189000000000000E+009;-1.652502820842079E-001;-3.624821025482737E-001;
1.200000000000000E+009;-1.883983218480312E-001;-3.657880594722266E-001;
1.211000000000000E+009;-2.038222609580396E-001;-3.729267127646147E-001;
1.222000000000000E+009;-2.266653141656015E-001;-3.865223000274779E-001;
1.233000000000000E+009;-2.622042507772870E-001;-3.992169361628895E-001;
1.244000000000000E+009;-3.050553792997118E-001;-3.982708209159505E-001;
1.255000000000000E+009;-3.476386795273244E-001;-3.892394121504438E-001;
1.266000000000000E+009;-3.865675241096703E-001;-3.688141566403412E-001;
1.277000000000000E+009;-4.193850833249060E-001;-3.457909597091194E-001;
1.288000000000000E+009;-4.483790502072134E-001;-3.237355179056290E-001;
1.299000000000000E+009;-4.802524234330888E-001;-3.022385519425572E-001;
1.310000000000000E+009;-5.149634964930026E-001;-2.715996929897372E-001;
1.321000000000000E+009;-5.454682993174628E-001;-2.341674193506550E-001;
1.332000000000000E+009;-5.683316606574569E-001;-1.946816440417155E-001;
1.343000000000000E+009;-5.903546338085952E-001;-1.554903091966539E-001;
1.354000000000000E+009;-6.113590214287434E-001;-1.118517239950512E-001;
1.365000000000000E+009;-6.229320023370782E-001;-6.458160654340907E-002;
1.376000000000000E+009;-6.334813765450587E-001;-2.204406726877196E-002;
1.387000000000000E+009;-6.422135240643169E-001;2.407368620118607E-002;
1.398000000000000E+009;-6.514298860586721E-001;7.272613016313682E-002;
1.409000000000000E+009;-6.524425942464771E-001;1.276332544394079E-001;
1.420000000000000E+009;-6.470767277979957E-001;1.838371868541744E-001;
1.431000000000000E+009;-6.311077482112446E-001;2.389706564618364E-001;
1.442000000000000E+009;-6.110325463891079E-001;2.879904673785534E-001;
1.453000000000000E+009;-5.876215100324004E-001;3.343084318116847E-001;
1.464000000000000E+009;-5.651029513221035E-001;3.765046594060561E-001;
1.475000000000000E+009;-5.432185330506114E-001;4.232112717507477E-001;
1.486000000000000E+009;-5.136349864670829E-001;4.742170137395297E-001;
1.497000000000000E+009;-4.726102540402709E-001;5.209318543340170E-001;
1.508000000000000E+009;-4.251459487029107E-001;5.601887505178803E-001;
1.519000000000000E+009;-3.793102819234217E-001;5.891585950689604E-001;
1.530000000000000E+009;-3.361834069875542E-001;6.190107702233891E-001;
1.541000000000000E+009;-2.892370458590247E-001;6.468633177405547E-001;
1.552000000000000E+009;-2.411538281290614E-001;6.726263724804779E-001;
1.563000000000000E+009;-1.863158912384251E-001;6.988633287445825E-001;
1.574000000000000E+009;-1.256788911605784E-001;7.166321986942648E-001;
1.585000000000000E+009;-6.443860075734205E-002;7.280489935340530E-001;
1.596000000000000E+009;-1.158843905789960E-003;7.345001814699994E-001;
1.607000000000000E+009;6.426511732954744E-002;7.347677739855927E-001;
1.618000000000000E+009;1.301044079561653E-001;7.250070820362015E-001;
1.629000000000000E+009;1.894272955156837E-001;7.101831454968469E-001;
1.640000000000000E+009;2.503697868100211E-001;6.930718777878184E-001;
1.651000000000000E+009;3.085106388042025E-001;6.695294143509744E-001;
1.662000000000000E+009;3.673516798163402E-001;6.417654313955475E-001;
1.673000000000000E+009;4.230667655966064E-001;6.036458841389313E-001;
1.684000000000000E+009;4.687372634376998E-001;5.631866703594187E-001;
1.695000000000000E+009;5.121109882352051E-001;5.228388493816397E-001;
1.706000000000000E+009;5.548321686137817E-001;4.802228007343039E-001;
1.717000000000000E+009;5.930434564336561E-001;4.310176190401063E-001;
1.728000000000000E+009;6.264670117740784E-001;3.796883614993085E-001;
1.739000000000000E+009;6.553326962219925E-001;3.249517165351947E-001;
1.750000000000000E+009;6.787565180487856E-001;2.673982246701822E-001;
1.761000000000000E+009;6.960317233227741E-001;2.096295590171723E-001;
1.772000000000000E+009;7.091620755495491E-001;1.518600011446390E-001;
1.783000000000000E+009;7.186694409283829E-001;9.225541186458015E-002;
1.794000000000000E+009;7.209415869270676E-001;3.264184384918403E-002;
1.805000000000000E+009;7.177468262546259E-001;-2.523097951459480E-002;
1.816000000000000E+009;7.100936269002547E-001;-7.967680416720367E-002;
1.827000000000000E+009;7.015725318333806E-001;-1.303920672998812E-001;
1.838000000000000E+009;6.926583818712837E-001;-1.820968043497416E-001;
1.849000000000000E+009;6.794222737381571E-001;-2.365794555431264E-001;
1.860000000000000E+009;6.591605346797020E-001;-2.893067582616641E-001;
1.871000000000000E+009;6.359089522820766E-001;-3.375526974573068E-001;
1.882000000000000E+009;6.094785788801754E-001;-3.851362658431795E-001;
1.893000000000000E+009;5.818285440981510E-001;-4.292843662281551E-001;
1.904000000000000E+009;5.500025897338888E-001;-4.736073530722257E-001;
1.915000000000000E+009;5.146424928782197E-001;-5.153215343775004E-001;
1.926000000000000E+009;4.771715459090098E-001;-5.546641103237547E-001;
1.937000000000000E+009;4.351947782204664E-001;-5.928298160330578E-001;
1.948000000000000E+009;3.901098095261767E-001;-6.265780177087521E-001;
1.959000000000000E+009;3.420246887585135E-001;-6.562687636287593E-001;
1.970000000000000E+009;2.941894757497638E-001;-6.809649677965238E-001;
1.981000000000000E+009;2.455535447288731E-001;-7.044027690791980E-001;
1.992000000000000E+009;1.944231653393543E-001;-7.249179584474115E-001;
