# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;7.200655953824681E-001;-6.575142962773967E-001;
1.110000000000000E+008;6.625512217439739E-001;-7.112500761243236E-001;
1.220000000000000E+008;6.011540113490214E-001;-7.589948472602552E-001;
1.330000000000000E+008;5.359133432552804E-001;-8.064225806035524E-001;
1.440000000000000E+008;4.667063883019529E-001;-8.402045778093252E-001;
1.550000000000000E+008;3.961428200772166E-001;-8.738020985665030E-001;
1.660000000000000E+008;3.220124583597312E-001;-9.030433988442725E-001;
1.770000000000000E+008;2.393365291211622E-001;-9.224724401326362E-001;
1.880000000000000E+008;1.565753009133914E-001;-9.278219725832209E-001;
1.990000000000000E+008;8.300747412990203E-002;-9.176681941927074E-001;
2.100000000000000E+008;2.589236822121506E-002;-9.104830484567000E-001;
2.210000000000000E+008;-3.561430144090074E-002;-9.153242849448603E-001;
2.320000000000000E+008;-1.045013310280241E-001;-9.143233794180744E-001;
2.430000000000000E+008;-1.784891295150325E-001;-9.101065938401109E-001;
2.540000000000000E+008;-2.575235882176983E-001;-8.964083085412046E-001;
2.650000000000000E+008;-3.309497581584073E-001;-8.735433336698564E-001;
2.760000000000000E+008;-4.075785766247735E-001;-8.450432154055705E-001;
2.870000000000000E+008;-4.796722034383352E-001;-8.053225340666388E-001;
2.980000000000000E+008;-5.448227081571515E-001;-7.600005698040407E-001;
3.090000000000000E+008;-6.056819745774776E-001;-7.128411815537424E-001;
3.200000000000000E+008;-6.677105967352791E-001;-6.624083323135261E-001;
3.310000000000000E+008;-7.277989669939547E-001;-6.006104841197599E-001;
3.420000000000000E+008;-7.785474269792895E-001;-5.336321679086216E-001;
3.530000000000000E+008;-8.253157618368257E-001;-4.608505852742628E-001;
3.640000000000000E+008;-8.641508315207834E-001;-3.822285698520777E-001;
3.750000000000000E+008;-8.929189746926144E-001;-2.998751344098060E-001;
3.860000000000000E+008;-9.135145919377044E-001;-2.193844829718905E-001;
3.970000000000000E+008;-9.320807599645196E-001;-1.388864718762323E-001;
4.080000000000000E+008;-9.455754880885341E-001;-5.222813372449591E-002;
4.190000000000000E+008;-9.492624094188732E-001;3.867558064930170E-002;
4.300000000000000E+008;-9.419146910936526E-001;1.303031976962366E-001;
4.410000000000000E+008;-9.241749493857313E-001;2.204766924578713E-001;
4.520000000000000E+008;-8.981469677042954E-001;3.088039130035197E-001;
4.630000000000000E+008;-8.628287360892971E-001;3.942031704282416E-001;
4.740000000000000E+008;-8.188895501780045E-001;4.757802082301294E-001;
4.850000000000000E+008;-7.671157791325091E-001;5.526483697543521E-001;
4.960000000000000E+008;-7.069357571795742E-001;6.237099196275342E-001;
5.070000000000000E+008;-6.403130409520430E-001;6.879587059485128E-001;
5.180000000000000E+008;-5.677295851286374E-001;7.454804781999769E-001;
5.290000000000000E+008;-4.881227670567763E-001;7.950961011630369E-001;
5.400000000000000E+008;-4.049053378643992E-001;8.350202599047251E-001;
5.510000000000000E+008;-3.183547503260598E-001;8.652314827848783E-001;
5.620000000000000E+008;-2.311942960367528E-001;8.852332518753932E-001;
5.730000000000000E+008;-1.461337587731902E-001;8.951308012757518E-001;
5.840000000000000E+008;-6.462555903907005E-002;9.005963628435995E-001;
5.950000000000000E+008;2.046717492106601E-002;9.017129214690397E-001;
6.060000000000000E+008;1.064082201288412E-001;8.919872212433893E-001;
6.170000000000000E+008;1.890365863019789E-001;8.731989596812817E-001;
6.280000000000000E+008;2.710678363767167E-001;8.496299508050217E-001;
6.390000000000000E+008;3.518550024308281E-001;8.151549212077615E-001;
6.500000000000000E+008;4.274699836138182E-001;7.701788487280995E-001;
6.610000000000000E+008;4.938503054989629E-001;7.194585566779976E-001;
6.720000000000000E+008;5.541918297811401E-001;6.648983437113527E-001;
6.830000000000000E+008;6.090693590969171E-001;6.048406345114914E-001;
6.940000000000000E+008;6.529811785014908E-001;5.401579474961151E-001;
7.050000000000000E+008;6.910941867047702E-001;4.803759627085831E-001;
7.160000000000000E+008;7.296009280127808E-001;4.163982263569347E-001;
7.270000000000000E+008;7.616107284201893E-001;3.466528283392867E-001;
7.380000000000000E+008;7.842274058571518E-001;2.723345961624521E-001;
7.490000000000000E+008;7.981866953760235E-001;1.991303637273224E-001;
7.600000000000000E+008;8.033731702924972E-001;1.253041113979072E-001;
7.710000000000000E+008;8.047375903383117E-001;5.537808662993611E-002;
7.820000000000000E+008;8.018992902798232E-001;-1.861481088414632E-002;
7.930000000000000E+008;7.863848762504074E-001;-9.298904144402323E-002;
8.040000000000000E+008;7.628131872367282E-001;-1.598396824098113E-001;
8.150000000000000E+008;7.368911222520708E-001;-2.226931052090572E-001;
8.260000000000000E+008;7.057117334716999E-001;-2.826245695385049E-001;
8.370000000000000E+008;6.697315217603532E-001;-3.429464205614873E-001;
8.480000000000000E+008;6.205258178095463E-001;-3.972754508451684E-001;
8.590000000000000E+008;5.705748257924779E-001;-4.384301651490133E-001;
8.700000000000000E+008;5.174063042127887E-001;-4.729892784932424E-001;
8.810000000000000E+008;4.667262951614782E-001;-4.975649406974357E-001;
8.920000000000000E+008;4.227764320380267E-001;-5.210846880167713E-001;
9.030000000000000E+008;3.736092909606801E-001;-5.472549731456884E-001;
9.140000000000000E+008;3.167375621719806E-001;-5.658182485142033E-001;
9.250000000000000E+008;2.587360180309491E-001;-5.770264575694507E-001;
9.360000000000000E+008;1.976101059851551E-001;-5.748614099244830E-001;
9.470000000000000E+008;1.436899717492933E-001;-5.644449863427115E-001;
9.580000000000000E+008;9.528816079098736E-002;-5.441522634909419E-001;
9.690000000000000E+008;5.715186477550462E-002;-5.226302369221750E-001;
9.800000000000000E+008;2.070530188917255E-002;-5.012392900183721E-001;
9.910000000000000E+008;-5.487442173104989E-003;-4.673325275861367E-001;
1.002000000000000E+009;-2.004906653206646E-002;-4.501034690232704E-001;
1.013000000000000E+009;-4.126332930543929E-002;-4.297389242286494E-001;
1.024000000000000E+009;-5.991133772872576E-002;-4.072227754232551E-001;
1.035000000000000E+009;-7.685336386311617E-002;-3.746224325787265E-001;
1.046000000000000E+009;-6.781077052686858E-002;-3.389931853580193E-001;
1.057000000000000E+009;-4.833183511590170E-002;-3.237151038115502E-001;
1.068000000000000E+009;-3.353528651792000E-002;-3.273481923649875E-001;
1.079000000000000E+009;-3.123469831116789E-002;-3.351806470877687E-001;
1.090000000000000E+009;-3.539320158608669E-002;-3.393216989835750E-001;
1.101000000000000E+009;-3.767613564261704E-002;-3.422471929007783E-001;
1.112000000000000E+009;-3.842086640207885E-002;-3.457280060271400E-001;
1.123000000000000E+009;-3.916085011790078E-002;-3.586868246592135E-001;
1.134000000000000E+009;-4.859983978608341E-002;-3.752674109786109E-001;
1.145000000000000E+009;-6.564101774682730E-002;-3.864135348216067E-001;
1.156000000000000E+009;-7.884931749318369E-002;-3.952686116328857E-001;
1.167000000000000E+009;-9.309764982014264E-002;-4.133070986790531E-001;
1.178000000000000E+009;-1.193426284756488E-001;-4.289413602887721E-001;
1.189000000000000E+009;-1.488167603759767E-001;-4.404351022350503E-001;
1.200000000000000E+009;-1.816757930899699E-001;-4.461142423836854E-001;
1.211000000000000E+009;-2.109165373117643E-001;-4.516686685288926E-001;
1.222000000000000E+009;-2.465837623206126E-001;-4.591306561298207E-001;
1.233000000000000E+009;-2.902085383024828E-001;-4.595813696845698E-001;
1.244000000000000E+009;-3.351666658216193E-001;-4.524490646328342E-001;
1.255000000000000E+009;-3.821706367237215E-001;-4.354923830074853E-001;
1.266000000000000E+009;-4.224693227994054E-001;-4.073117615892580E-001;
1.277000000000000E+009;-4.529453057214777E-001;-3.784690126635731E-001;
1.288000000000000E+009;-4.817050404206903E-001;-3.550915010096321E-001;
1.299000000000000E+009;-5.167710982605964E-001;-3.303865780083712E-001;
1.310000000000000E+009;-5.530538433482506E-001;-2.945251978875393E-001;
1.321000000000000E+009;-5.804989600205489E-001;-2.534359343087775E-001;
1.332000000000000E+009;-6.049243777633667E-001;-2.147134561180376E-001;
1.343000000000000E+009;-6.309922239896689E-001;-1.713583983681997E-001;
1.354000000000000E+009;-6.518581375838116E-001;-1.236473760993078E-001;
1.365000000000000E+009;-6.655787918711101E-001;-7.327056464392624E-002;
1.376000000000000E+009;-6.774706516808325E-001;-2.434652516319203E-002;
1.387000000000000E+009;-6.866823689074324E-001;2.819081230877646E-002;
1.398000000000000E+009;-6.912016217286271E-001;8.342508179069789E-002;
1.409000000000000E+009;-6.893509792330179E-001;1.399837546712572E-001;
1.420000000000000E+009;-6.819185184513553E-001;1.989075909187880E-001;
1.431000000000000E+009;-6.660821722254962E-001;2.575697727544957E-001;
1.442000000000000E+009;-6.403569588316961E-001;3.127844651512616E-001;
1.453000000000000E+009;-6.116233845670470E-001;3.581462268160958E-001;
1.464000000000000E+009;-5.877115593138125E-001;4.016260472476406E-001;
1.475000000000000E+009;-5.624804281766683E-001;4.501546004816321E-001;
1.486000000000000E+009;-5.286563322957619E-001;5.024127907716701E-001;
1.497000000000000E+009;-4.848976856523191E-001;5.487425096081177E-001;
1.508000000000000E+009;-4.359822348178746E-001;5.871646113555968E-001;
1.519000000000000E+009;-3.881441868812700E-001;6.184893530896246E-001;
1.530000000000000E+009;-3.404860883052011E-001;6.499673351129708E-001;
1.541000000000000E+009;-2.882562531657646E-001;6.768949501125604E-001;
1.552000000000000E+009;-2.370908319885396E-001;7.017981166257516E-001;
1.563000000000000E+009;-1.773720977255777E-001;7.254915063429106E-001;
1.574000000000000E+009;-1.146224965336578E-001;7.387870477431104E-001;
1.585000000000000E+009;-5.245408168314508E-002;7.472392703588724E-001;
1.596000000000000E+009;1.141270659536137E-002;7.514573109618077E-001;
1.607000000000000E+009;7.688481109595756E-002;7.483676464433596E-001;
1.618000000000000E+009;1.415465914020803E-001;7.375067723984657E-001;
1.629000000000000E+009;2.018922737086414E-001;7.217960172064676E-001;
1.640000000000000E+009;2.623007080700797E-001;7.019722094977186E-001;
1.651000000000000E+009;3.189261853843021E-001;6.785057016560252E-001;
1.662000000000000E+009;3.786044804053103E-001;6.498514914042246E-001;
1.673000000000000E+009;4.328048259280881E-001;6.111800682689722E-001;
1.684000000000000E+009;4.791506910432613E-001;5.718905264871341E-001;
1.695000000000000E+009;5.236223391138095E-001;5.302328393039608E-001;
1.706000000000000E+009;5.661106317555361E-001;4.868241595681518E-001;
1.717000000000000E+009;6.048575139237127E-001;4.375330844189312E-001;
1.728000000000000E+009;6.389884120876073E-001;3.854341121723371E-001;
1.739000000000000E+009;6.678094792014055E-001;3.300689097522474E-001;
1.750000000000000E+009;6.924908227982850E-001;2.718965155224403E-001;
1.761000000000000E+009;7.101381815715274E-001;2.127690174276633E-001;
1.772000000000000E+009;7.231615119906056E-001;1.534000695027350E-001;
1.783000000000000E+009;7.319411778240228E-001;9.326856053208504E-002;
1.794000000000000E+009;7.349787853718425E-001;3.284656247532680E-002;
1.805000000000000E+009;7.318798111401556E-001;-2.663135026156598E-002;
1.816000000000000E+009;7.241230028632743E-001;-8.241453971233007E-002;
1.827000000000000E+009;7.147447056062538E-001;-1.353501555344516E-001;
1.838000000000000E+009;7.038331494331951E-001;-1.874873542969874E-001;
1.849000000000000E+009;6.901736928884361E-001;-2.409517427300522E-001;
1.860000000000000E+009;6.712872230852318E-001;-2.938198754874579E-001;
1.871000000000000E+009;6.486651914068790E-001;-3.440680387373097E-001;
1.882000000000000E+009;6.224214022857628E-001;-3.936957552399981E-001;
1.893000000000000E+009;5.929322798253562E-001;-4.403098398059939E-001;
1.904000000000000E+009;5.592081674803683E-001;-4.857434646456814E-001;
1.915000000000000E+009;5.218291541645588E-001;-5.272056186776457E-001;
1.926000000000000E+009;4.837259504934657E-001;-5.669760754460061E-001;
1.937000000000000E+009;4.403815046117955E-001;-6.056659187279571E-001;
1.948000000000000E+009;3.934779283530434E-001;-6.394273194732000E-001;
1.959000000000000E+009;3.449462912149688E-001;-6.685922806655352E-001;
1.970000000000000E+009;2.958386147884227E-001;-6.943775829860851E-001;
1.981000000000000E+009;2.447725922157537E-001;-7.179982881435224E-001;
1.992000000000000E+009;1.915373764367670E-001;-7.370308207700443E-001;
2.003000000000000E+009;1.366305508866496E-001;-7.518895002891148E-001;
2.014000000000000E+009;8.143161900459202E-002;-7.610361702219475E-001;
2.025000000000000E+009;2.742187545353230E-002;-7.667908997242852E-001;
2.036000000000000E+009;-2.765711028416603E-002;-7.685453764895017E-001;
