# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;9.692424244897528E-001;-2.259060167037370E-001;
1.110000000000000E+008;9.607978088998678E-001;-2.530377389649353E-001;
1.220000000000000E+008;9.503550562866394E-001;-2.785399358807327E-001;
1.330000000000000E+008;9.354803320843830E-001;-3.059146880973671E-001;
1.440000000000000E+008;9.135438228957633E-001;-3.278239319914517E-001;
1.550000000000000E+008;8.952509251766218E-001;-3.349216090690852E-001;
1.660000000000000E+008;8.899220134064062E-001;-3.438267444699179E-001;
1.770000000000000E+008;8.863784256062836E-001;-3.595555622165429E-001;
1.880000000000000E+008;8.825015016561716E-001;-3.746182964586077E-001;
1.990000000000000E+008;8.793133058691803E-001;-3.920541788983024E-001;
2.100000000000000E+008;8.730209332055524E-001;-4.158821880769682E-001;
2.210000000000000E+008;8.612126485949683E-001;-4.391867219666963E-001;
2.320000000000000E+008;8.461390751622340E-001;-4.590830095056040E-001;
2.430000000000000E+008;8.337953081394613E-001;-4.746199830033145E-001;
2.540000000000000E+008;8.245344544858153E-001;-4.900412902612619E-001;
2.650000000000000E+008;8.173313624973077E-001;-5.045270772727217E-001;
2.760000000000000E+008;8.107012791795325E-001;-5.214374012904682E-001;
2.870000000000000E+008;8.039073359660931E-001;-5.396903979143144E-001;
2.980000000000000E+008;7.939382451136199E-001;-5.606644691221093E-001;
3.090000000000000E+008;7.807731886048966E-001;-5.823439403986840E-001;
3.200000000000000E+008;7.654899367884853E-001;-6.032977310182703E-001;
3.310000000000000E+008;7.478682101551638E-001;-6.232889412901309E-001;
3.420000000000000E+008;7.291155354386013E-001;-6.415642793149012E-001;
3.530000000000000E+008;7.105252975216603E-001;-6.582414019726700E-001;
3.640000000000000E+008;6.930941077975675E-001;-6.731188270119232E-001;
3.750000000000000E+008;6.770221669411396E-001;-6.866248861695233E-001;
3.860000000000000E+008;6.623801024740708E-001;-6.999318546721225E-001;
3.970000000000000E+008;6.478889200254488E-001;-7.128163194797068E-001;
4.080000000000000E+008;6.326323406105364E-001;-7.276542411238631E-001;
4.190000000000000E+008;6.154037210455257E-001;-7.456950361416933E-001;
4.300000000000000E+008;5.946861846529639E-001;-7.637006499586728E-001;
4.410000000000000E+008;5.730767974317492E-001;-7.816270728375080E-001;
4.520000000000000E+008;5.510654785360111E-001;-7.986987928676435E-001;
4.630000000000000E+008;5.284735188876752E-001;-8.147948321848227E-001;
4.740000000000000E+008;5.050162941447218E-001;-8.292734876700957E-001;
4.850000000000000E+008;4.803991001297208E-001;-8.429638803971321E-001;
4.960000000000000E+008;4.532101939130013E-001;-8.551347907819595E-001;
5.070000000000000E+008;4.255510353507165E-001;-8.650785321562552E-001;
5.180000000000000E+008;3.959234340058804E-001;-8.735571569678730E-001;
5.290000000000000E+008;3.667951418123888E-001;-8.801186642926453E-001;
5.400000000000000E+008;3.374139237936046E-001;-8.846324959121111E-001;
5.510000000000000E+008;3.111355373833027E-001;-8.881733536273209E-001;
5.620000000000000E+008;2.848843042392997E-001;-8.916447663161913E-001;
5.730000000000000E+008;2.619140635023390E-001;-8.957865102236251E-001;
