# Version 1.00
#
freq[Hz];re:Trc1_S22;im:Trc1_S22;
1.000000000000000E+008;9.961215110398798E-001;-7.756115021464174E-002;
1.110000000000000E+008;9.953951220871208E-001;-8.667048591540549E-002;
1.220000000000000E+008;9.942778265477059E-001;-9.568533092931988E-002;
1.330000000000000E+008;9.929246271858705E-001;-1.051705156872355E-001;
1.440000000000000E+008;9.911764095594515E-001;-1.149449867321338E-001;
1.550000000000000E+008;9.888636944182173E-001;-1.246178547854258E-001;
1.660000000000000E+008;9.865061783107588E-001;-1.340910134906998E-001;
1.770000000000000E+008;9.839460257593712E-001;-1.427069222304210E-001;
1.880000000000000E+008;9.801874304925593E-001;-1.493937368848563E-001;
1.990000000000000E+008;9.781408241781497E-001;-1.530736900625991E-001;
2.100000000000000E+008;9.788964698711929E-001;-1.596301737008429E-001;
2.210000000000000E+008;9.792313445517515E-001;-1.689157098502913E-001;
2.320000000000000E+008;9.776604002776086E-001;-1.795736389015319E-001;
2.430000000000000E+008;9.753476396803238E-001;-1.895245969035978E-001;
2.540000000000000E+008;9.730929066339579E-001;-1.985687219944383E-001;
2.650000000000000E+008;9.709007664135438E-001;-2.063107119665799E-001;
2.760000000000000E+008;9.689702454217195E-001;-2.127273734510057E-001;
2.870000000000000E+008;9.675926010484643E-001;-2.186238161228110E-001;
2.980000000000000E+008;9.658960092487412E-001;-2.252539621591772E-001;
3.090000000000000E+008;9.640337843357753E-001;-2.326949938152654E-001;
3.200000000000000E+008;9.616857406228861E-001;-2.407240037095239E-001;
3.310000000000000E+008;9.589712362259766E-001;-2.498174999280090E-001;
3.420000000000000E+008;9.561775427443323E-001;-2.586467649881064E-001;
3.530000000000000E+008;9.540316540825574E-001;-2.676490941688514E-001;
3.640000000000000E+008;9.524108622570424E-001;-2.762222381684766E-001;
3.750000000000000E+008;9.509180389237694E-001;-2.838245208327622E-001;
3.860000000000000E+008;9.500340130108518E-001;-2.904247610635139E-001;
3.970000000000000E+008;9.485848350772412E-001;-2.969510711858006E-001;
4.080000000000000E+008;9.466278345633425E-001;-3.041964627269036E-001;
4.190000000000000E+008;9.439340336609371E-001;-3.129610104690345E-001;
4.300000000000000E+008;9.399863237131697E-001;-3.230909135813702E-001;
4.410000000000000E+008;9.357063773893763E-001;-3.338313254642351E-001;
4.520000000000000E+008;9.314848815336431E-001;-3.445570930929490E-001;
4.630000000000000E+008;9.276310107403619E-001;-3.544451330949820E-001;
4.740000000000000E+008;9.243528838550772E-001;-3.633036943458988E-001;
4.850000000000000E+008;9.216761841086782E-001;-3.715087693610207E-001;
4.960000000000000E+008;9.189852534873763E-001;-3.795822465061477E-001;
5.070000000000000E+008;9.157236213121508E-001;-3.878095287228871E-001;
5.180000000000000E+008;9.112773285604771E-001;-3.969351866927255E-001;
5.290000000000000E+008;9.057970024171813E-001;-4.071833275414636E-001;
5.400000000000000E+008;8.995493985386414E-001;-4.178554847009197E-001;
5.510000000000000E+008;8.929530191774937E-001;-4.285593030653006E-001;
